feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12
F2-carry,0.020664963380139116,0.033290424903272595,0.01891621416202531,0.017097742583609372,0.014633082421369787,0.03190168248379344,0.024931928801344146,0.016791951221702694,0.03453336305511377,0.017838041848306223,0.011499096132901643,0.009492973664451197,0.01705305928377918
F2-had,0.020131026879533397,0.021653758620050402,0.017771401422523408,0.018578885586944593,0.015669395291121668,0.02542765835341893,0.034847529591894556,0.024192338378903888,0.010713221502341249,0.02541706114039651,0.01552988044479983,0.015160938387451405,0.016610253834554337
F1-greasy,0.013875227138572555,0.011014668110189942,0.012670800135768963,0.017766698090300858,0.012482535290351142,0.00828777894868604,0.035242729277589195,0.010673876788171856,0.010543662923450641,0.01008855585906135,0.01074751966288759,0.014423023799685804,0.01256087677672727
F1-oily,0.013499557069845214,0.012258839062758282,0.013237665030074165,0.017130407153379823,0.008525441282007763,0.014215978686999184,0.010795760086121974,0.013834026717191071,0.011759994065661427,0.010966561386605312,0.014712633949680828,0.018155367899225405,0.016402009518437306
F2-don't,0.012977283965726597,0.014648612866282966,0.014385648455040973,0.013524469824191343,0.013303248367463175,0.015751539923125734,0.010359360328330364,0.012360822578855889,0.011229754332611627,0.009330984516880575,0.013470172347414254,0.012294832495821459,0.015067961552700794
F2-your,0.012892193959493786,0.009899168086667572,0.02950937998252987,0.00875283090124453,0.01405548106706576,0.016514313116245086,0.008615098095189589,0.006693651103319771,0.007464710664253613,0.00859109862954696,0.010208603015485653,0.017133374700963135,0.017268618151413884
F2-in,0.012819213090382557,0.015737112819345235,0.01058776041763572,0.01305477789148451,0.008706281231678398,0.012906063508999878,0.01155619277972889,0.010694649911122215,0.029325620568357733,0.008463615370961818,0.012273552215384011,0.01288290306513926,0.00764202730475303
F2-wash,0.012552886365790222,0.012477794989625085,0.007599880944467086,0.011993324257401338,0.010858852877371303,0.013532513890820252,0.010447666090116395,0.014004864084240638,0.013600961016059442,0.013631067995987406,0.016703782684912127,0.014865341771445101,0.010918585787036496
F1-year,0.01243022140423588,0.008673253774367206,0.009033200979748237,0.009272702389309858,0.014059070040491178,0.019729651317297557,0.010231272207312963,0.016867720455416922,0.01366994101925969,0.012944453779489112,0.009315919862093758,0.011193402417689537,0.014172068608354533
F1-rag,0.012267288209369419,0.011079482023222868,0.009489198590298358,0.011408606517369907,0.016429908990789915,0.017632394100174836,0.00939678082782368,0.011359041486689078,0.01432339878406339,0.010067054052351965,0.00850115511444714,0.010583230299076601,0.016937207726125305
F1-to,0.012243875481353804,0.02019497353394204,0.010847534578989229,0.014726166532880515,0.0074738796100589765,0.011351950010893605,0.00928124098852007,0.00918091143504054,0.007680573648713567,0.019000210298977,0.013227690303891542,0.01198201987090822,0.011979354963430331
F2-suit,0.012225508734534471,0.011436803551807866,0.009916815865113608,0.00880638383620006,0.0077228876112762235,0.022854208386110665,0.012671646713586029,0.026384356237879884,0.010332454595129627,0.00881128959982083,0.007181202784921021,0.009850501735740468,0.010737553896827356
F2-to,0.01208879716961584,0.012291980784256647,0.0091037975506229,0.010307114207833735,0.014735545554058298,0.018751827378780995,0.008779999086747765,0.010248344545885102,0.018537321038465858,0.00716168275006072,0.014793182133713135,0.013577891492910154,0.006776879512054767
F1-ask,0.0116720983092801,0.011208987585623768,0.008216773132802222,0.013748876270280718,0.007917697448958089,0.010473936846255198,0.021290590031442073,0.01717295620749427,0.008690820360307655,0.013474646408859833,0.008445180645424977,0.01168618812253186,0.007738526651380549
F2-me,0.011546266410151928,0.012569203906237239,0.010942244153464084,0.01640711308610355,0.010935951153533045,0.010604321078809383,0.012430137847207078,0.007401025785099635,0.013201929112716183,0.011901936149882891,0.01165928804294255,0.009556615698770955,0.010945430907056552
F1-me,0.011170440232117378,0.012677692033220693,0.007738326431354669,0.009080204425697435,0.00723262778049003,0.015958113292601998,0.010490570195900186,0.005944752495797122,0.015323181992635979,0.009334072059513851,0.02201676894094533,0.009652175684860802,0.008596797452390455
F1-dark,0.010990581126205537,0.00736566571100855,0.010911692437219265,0.008825862360843196,0.009575075823190194,0.012327373617726092,0.010819268101987547,0.012158335624135578,0.011595753960548577,0.011033516889657214,0.011393473409589494,0.012375302399137485,0.01350565317942323
F1-like,0.010814206336754327,0.01010903661127033,0.007719271400375289,0.009587902736626207,0.005963616002661317,0.012030433970891733,0.010833444410766079,0.014179572957853671,0.014783945961531065,0.019070156311749662,0.008365455782561024,0.008155301778134666,0.008972338116630892
F2-like,0.010745737108996588,0.009194694700275495,0.00770101954265841,0.010819166944579519,0.007009837151341893,0.014406786913956833,0.011003091438002698,0.01241530888790744,0.012953981613080819,0.010270410489939085,0.008034816123234477,0.010648901634202335,0.014490829868780048
F1-your,0.010668591834760885,0.010091555008110268,0.0074121764180821535,0.01199865124086333,0.009072033616952892,0.00979986775640917,0.012394536865610272,0.010770460430716902,0.0085335697999967,0.009005257661626995,0.01370498918878681,0.009406876443863168,0.01583312758611198
F2-greasy,0.010568741049499395,0.00902815828988061,0.012093848868647733,0.008109617030484361,0.008528125962001169,0.009151484941329007,0.017105042538410248,0.010044916056173973,0.007863362553771888,0.0127899388944383,0.011265863784615254,0.013512329555230814,0.007332204119009394
F2-year,0.010339921761507272,0.005664789575463288,0.008783076257352402,0.010764883864329097,0.011156153852351452,0.005812581883361472,0.008583642317402718,0.014488235337704287,0.010821178099016665,0.015062233441896066,0.010430094793582097,0.009125076590210673,0.01338711512541706
F2-that,0.010305443859814712,0.009874652988449077,0.011487810335203085,0.006465926521098336,0.010203373052176343,0.019666122253444152,0.005926246798116471,0.009427364632705593,0.008206827581890657,0.009391916495208567,0.007819787952302237,0.012244948347093476,0.012950349360088544
F1-in,0.010154834728020768,0.00892220231197519,0.0077069108045081155,0.008689348403326086,0.009335768313778036,0.008830101541053091,0.01206299320943403,0.008983818133823616,0.019100628433443345,0.008672431975248354,0.012271614027708946,0.007228590756127883,0.010053608825822517
F2-rag,0.01013744166031203,0.010974300082743365,0.010215803667168096,0.008707536205910102,0.0061573485399246276,0.008607391915298,0.006019458043064533,0.007829875631448414,0.011108941072352121,0.01885760616651296,0.016993513437520105,0.010474660288675147,0.005702864873126907
F2-oily,0.010032506460131726,0.009501650758565523,0.010559778481553293,0.012293758172633198,0.013775881544043212,0.007440685436622618,0.009064109156919116,0.008130472012352258,0.008335694667294516,0.012950463914678518,0.012835116886481262,0.007997309854233562,0.007505156636203645
F1-suit,0.00975801817890491,0.009992836201885031,0.009531416483586462,0.009761481240043444,0.009103087974813217,0.00899090773709454,0.013220442778899038,0.012566142146064252,0.010049319794866406,0.009185324054183675,0.006426866584010637,0.01071429151429914,0.007554101637113067
F1-don't,0.009453077924343892,0.00741679117187053,0.009121376378947664,0.004974417211825837,0.005218545194318552,0.00859095640850931,0.008225268435018175,0.009235300986410422,0.010887333628478588,0.010300690071696051,0.009950715462590107,0.01816389962929744,0.01135164051316404
