feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12
F1-greasy,0.01428298536115348,0.011433424002750001,0.009216983288855077,0.01643311644975273,0.015839020169698192,0.03355148567196979,0.013861069084436805,0.01913630111943445,0.00968743644136745,0.009682362072596191,0.005138047031968986,0.015197812216732887,0.012218766784279179
F1-dark,0.014253349286143335,0.011997415807901778,0.009377616391948607,0.019750390155465685,0.013869193609382314,0.02139612497523574,0.016383009544660154,0.017887170670837116,0.011157233302614698,0.013588144067888776,0.012387485017658899,0.01234927196335414,0.010897135926772068
F1-an,0.013662199006990778,0.0046423910941359855,0.012466093244335624,0.017471263253235215,0.022874471176186368,0.009015929988800273,0.00899722759198045,0.015867516650437577,0.018871761252020343,0.010527295113300337,0.01324479977988605,0.016747883775695815,0.013219755163875323
F2-rag,0.013406525003385697,0.01390348051373856,0.015226550606916285,0.01852598744515578,0.015817519554013806,0.016257399232086498,0.009415305810184132,0.004858604981049751,0.01124635090243936,0.017687885305294224,0.013588013196661192,0.014671368526179354,0.009679833966909407
F2-that,0.013288879139728935,0.007913571559190136,0.0126005397346296,0.008068261827834315,0.012796486255231686,0.009718172222948216,0.017236210100979407,0.015181717041621183,0.00952141998536085,0.0111143853452398,0.015368308466792243,0.02270111942430384,0.01724635771261597
F1-in,0.013115533253380504,0.01326058707602366,0.012932857369338826,0.008264909319567018,0.007987886084219901,0.010626042759085857,0.018790924492750077,0.011658429088660473,0.025376116601366416,0.014390763933620826,0.007232486385788406,0.009987410616337162,0.016877985313807454
F2-me,0.013055543503791728,0.0036157695056173735,0.015479327342722605,0.008170434725059766,0.012614646020971778,0.009987754120142687,0.025750427381297857,0.009371105420003509,0.018702954367173688,0.010436098988076473,0.020582482613382514,0.011975677549988628,0.00997984401106387
F1-suit,0.01277203415407751,0.009342656727531899,0.010281364176351481,0.02007786246673106,0.011572989276058607,0.014140913628621523,0.00759094731283057,0.017686369886969717,0.006078418054864706,0.01221883115213885,0.008508710872306223,0.0254908229159841,0.010274523378541383
F2-ask,0.012633284220741309,0.007985399995048487,0.020805590038346672,0.01600880963786778,0.011529213643834042,0.004945114492678756,0.017201847477193985,0.013406174382155588,0.008242177825052105,0.010320875390258812,0.01381286693983652,0.018446649409332272,0.008894691417290698
F1-like,0.012289941176540177,0.013837017738421682,0.004504848296539099,0.015213191637500123,0.016407983265351044,0.007331124880511548,0.008106657810087785,0.007670971803372995,0.019167031807950458,0.01717840701207765,0.006297432049127881,0.015755490833625603,0.01600913698391625
F1-she,0.012225177169933153,0.006590152656720534,0.01366742380138486,0.013353865526159097,0.015141583984785817,0.015553781959338653,0.009203793495268101,0.013176194450958927,0.00845525623477866,0.009731812142912884,0.01013303026196887,0.01921366032697408,0.012481571197947348
F2-oily,0.011821733043571635,0.012237687945600071,0.018033883558482275,0.01634023962213043,0.013422060003191046,0.006577772818016556,0.011912009508390508,0.00936030121884749,0.011566690980570244,0.016349990224800753,0.007961488601853875,0.007899434779386256,0.010199237261590126
F2-she,0.011192679679492569,0.009265624372926575,0.015282222700301997,0.007373508490579633,0.014014886158993267,0.011600349706879372,0.0082123475382008,0.009353833601720743,0.014700334238623568,0.00753248397138857,0.007199858920661819,0.01731801663330442,0.01245868982033006
